Symbol,Name,GenAI specific info
AAPL,Apple,Major player in edge AI devices and AI-powered services
MSFT,Microsoft,Leader in AI cloud services and Copilot integrations
GOOGL,Alphabet (Google),Leader in foundational models and AI services
AMZN,Amazon,AI-driven e-commerce and AWS AI offerings
META,META,Investing heavily in LLMs and generative AI
NVDA,NVIDIA,Core GPU supplier for generative AI workloads
INTC,Intel,Edge AI and compute investments
AMD,AMD,GPUs and edge compute for AI
MRVL,Marvell Technology,Networking and AI infrastructure
AVGO,Broadcom,Key supplier for AI datacenter components
ANET,Arista Networks,Networking backbone for AI infrastructure
TSM,TSMC,Manufactures chips for AI hardware ecosystem